Change_log	Original_gene_name	Original_transcript_ID	Original_transcript_name	Original_protein_accession	OGSv0_ID	MCOTv1.1	Dmel		
replaced by Apollo model: merge	103523348	XM_008470432.1	XM_008470432.1	XP_008468654.1	Dcitr19336.1	MCOT13522.0.CC	FBpp0291923
replaced by Apollo model: merge	103523348	XM_008469109.1	XM_008469109.1	XP_008467331.1	Dcitr19336.1	MCOT13522.0.CC	FBpp0291923
replaced by Apollo model: merge	103523348	XM_008469763.1	XM_008469763.1	XP_008467985.1	Dcitr19336.1	MCOT13522.0.CC	FBpp0291923
replaced by Apollo model: merge	103523348	XM_008489416.1	XM_008489416.1	XP_008487638.1	Dcitr19336.1	MCOT13522.0.CC	FBpp0291923
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19334.1	MCOT20413.0.CC	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19333.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19332.1	MCOT15655.2.CC	FBpp0083503
replaced by Apollo model: split	103507942	XM_008472464.1	XM_008472464.1	XP_008470686.1	Dcitr19323.2		
replaced by Apollo model: split	103507942	XM_008472464.1	XM_008472464.1	XP_008470686.1	Dcitr19323.1	MCOT21740.2.CC	
replaced by Apollo model: split	103507942	XM_008472464.1	XM_008472464.1	XP_008470686.1	Dcitr19322.1	MCOT21740.1.CT	
replaced by Apollo model: simple replacement	103511579	XM_008476307.1	XM_008476307.1	XP_008474529.1	Dcitr19307.1	MCOT17740.0.CO	
replaced by Apollo model: merge	103513987	XM_008478852.1	XM_008478852.1	XP_008477074.1	Dcitr19300.1		
replaced by Apollo model: merge	103513980	XM_008478847.1	XM_008478847.1	XP_008477069.1	Dcitr19300.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19299.1		
replaced by Apollo model: merge	103515823	XM_008480768.1	XM_008480768.1	XP_008478990.1	Dcitr19293.1	MCOT01546.0.CT	
replaced by Apollo model: merge	103515648	XM_008480600.1	XM_008480600.1	XP_008478822.1	Dcitr19293.1	MCOT01546.0.CT	
replaced by Apollo model: merge	103515648	XM_008480584.1	XM_008480584.1	XP_008478806.1	Dcitr19293.1	MCOT01546.0.CT	
replaced by Apollo model: simple replacement	103518032	XM_008483089.1	XM_008483089.1	XP_008481311.1	Dcitr19287.1	MCOT02509.0.CC	
replaced by Apollo model: simple replacement	103518597	XM_008483673.1	XM_008483673.1	XP_008481895.1	Dcitr19282.2	MCOT11969.0.MT	
replaced by Apollo model: simple replacement	103518597	XM_008483673.1	XM_008483673.1	XP_008481895.1	Dcitr19282.1	MCOT11969.0.MT	FBpp0311833
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19275.1		
replaced by Apollo model: merge	103524537	XM_008489563.1	XM_008489563.1	XP_008487785.1	Dcitr19270.1	MCOT20315.1.CC	FBpp0088872
replaced by Apollo model: merge	103524537	XM_008489562.1	XM_008489562.1	XP_008487784.1	Dcitr19270.1	MCOT20315.1.CC	FBpp0088872
replaced by Apollo model: merge	103524728	XM_008489760.1	XM_008489760.1	XP_008487982.1	Dcitr19265.2	MCOT17476.0.CO	FBpp0302787
replaced by Apollo model: merge	103524729	XM_008489761.1	XM_008489761.1	XP_008487983.1	Dcitr19265.2	MCOT17476.0.CO	FBpp0302787
replaced by Apollo model: merge	103524728	XM_008489760.1	XM_008489760.1	XP_008487982.1	Dcitr19265.1		
replaced by Apollo model: merge	103524729	XM_008489761.1	XM_008489761.1	XP_008487983.1	Dcitr19265.1		
replaced by Apollo model: merge	103524840	XM_008489875.1	XM_008489875.1	XP_008488097.1	Dcitr19260.2		
replaced by Apollo model: merge	103524840	XM_008489876.1	XM_008489876.1	XP_008488098.1	Dcitr19260.2		
replaced by Apollo model: merge	103524870	XM_008489911.1	XM_008489911.1	XP_008488133.1	Dcitr19260.2		
replaced by Apollo model: merge	103524840	XM_008489875.1	XM_008489875.1	XP_008488097.1	Dcitr19260.1		
replaced by Apollo model: merge	103524840	XM_008489876.1	XM_008489876.1	XP_008488098.1	Dcitr19260.1		
replaced by Apollo model: merge	103524870	XM_008489911.1	XM_008489911.1	XP_008488133.1	Dcitr19260.1		
replaced by Apollo model: split	103524959	XM_008490000.1	XM_008490000.1	XP_008488222.1	Dcitr19258.1	MCOT01523.0.CT	
replaced by Apollo model: split	103524959	XM_008490000.1	XM_008490000.1	XP_008488222.1	Dcitr19257.1		
replaced by Apollo model: merge	103505063	XM_008469372.1	XM_008469372.1	XP_008467594.1	Dcitr19244.1	MCOT23436.0.CC	
replaced by Apollo model: merge	103505061	XM_008469371.1	XM_008469371.1	XP_008467593.1	Dcitr19244.1	MCOT23436.0.CC	
replaced by Apollo model: split	103505084	XM_008469392.1	XM_008469392.1	XP_008467614.1	Dcitr19243.1	MCOT14629.0.CO	
replaced by Apollo model: split	103505084	XM_008469392.1	XM_008469392.1	XP_008467614.1	Dcitr19242.1	MCOT14629.0.CO	
replaced by Apollo model: split	103505369	XM_008469696.1	XM_008469696.1	XP_008467918.1	Dcitr19233.1	MCOT22186.0.CT	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19232.1		
replaced by Apollo model: split	103505369	XM_008469696.1	XM_008469696.1	XP_008467918.1	Dcitr19231.1	MCOT00765.0.CO	
replaced by Apollo model: merge	103505616	XM_008469967.1	XM_008469967.1	XP_008468189.1	Dcitr19228.2	MCOT22725.0.CT	
replaced by Apollo model: merge	103505616	XM_008469968.1	XM_008469968.1	XP_008468190.1	Dcitr19228.2	MCOT22725.0.CT	
replaced by Apollo model: merge	103505616	XM_008469967.1	XM_008469967.1	XP_008468189.1	Dcitr19228.1	MCOT22725.0.CT	
replaced by Apollo model: merge	103505616	XM_008469968.1	XM_008469968.1	XP_008468190.1	Dcitr19228.1	MCOT22725.0.CT	
replaced by Apollo model: merge	103505719	XM_008470075.1	XM_008470075.1	XP_008468297.1	Dcitr19227.1	MCOT20020.0.CC	FBpp0312096
replaced by Apollo model: merge	103505720	XM_008470076.1	XM_008470076.1	XP_008468298.1	Dcitr19227.1	MCOT20020.0.CC	FBpp0312096
replaced by Apollo model: merge	103506136	XM_008470519.1	XM_008470519.1	XP_008468741.1	Dcitr19214.1		
replaced by Apollo model: merge	103506137	XM_008470521.1	XM_008470521.1	XP_008468743.1	Dcitr19214.1		
replaced by Apollo model: split	103506329	XM_008470714.1	XM_008470714.1	XP_008468936.1	Dcitr19209.1		
replaced by Apollo model: split	103506329	XM_008470714.1	XM_008470714.1	XP_008468936.1	Dcitr19208.1		
replaced by Apollo model: split	103506328	XM_008470713.1	XM_008470713.1	XP_008468935.1	Dcitr19208.1		
replaced by Apollo model: merge	103506397	XM_008470782.1	XM_008470782.1	XP_008469004.1	Dcitr19204.3	MCOT01674.1.CC	
replaced by Apollo model: merge	103506397	XM_008470780.1	XM_008470780.1	XP_008469002.1	Dcitr19204.3	MCOT01674.1.CC	
replaced by Apollo model: merge	103506397	XM_008470779.1	XM_008470779.1	XP_008469001.1	Dcitr19204.3	MCOT01674.1.CC	
replaced by Apollo model: merge	103506397	XM_008470782.1	XM_008470782.1	XP_008469004.1	Dcitr19204.2	MCOT01674.1.CC	FBpp0311603
replaced by Apollo model: merge	103506397	XM_008470780.1	XM_008470780.1	XP_008469002.1	Dcitr19204.2	MCOT01674.1.CC	FBpp0311603
replaced by Apollo model: merge	103506397	XM_008470779.1	XM_008470779.1	XP_008469001.1	Dcitr19204.2	MCOT01674.1.CC	FBpp0311603
replaced by Apollo model: merge	103506397	XM_008470782.1	XM_008470782.1	XP_008469004.1	Dcitr19204.1	MCOT01674.2.CC	
replaced by Apollo model: merge	103506397	XM_008470780.1	XM_008470780.1	XP_008469002.1	Dcitr19204.1	MCOT01674.2.CC	
replaced by Apollo model: merge	103506397	XM_008470779.1	XM_008470779.1	XP_008469001.1	Dcitr19204.1	MCOT01674.2.CC	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19195.1	MCOT17408.2.CT	
replaced by Apollo model: merge	103506784	XM_008471189.1	XM_008471189.1	XP_008469411.1	Dcitr19188.1	MCOT14845.4.CT	FBpp0290811
replaced by Apollo model: merge	103506794	XM_008471199.1	XM_008471199.1	XP_008469421.1	Dcitr19188.1	MCOT14845.4.CT	FBpp0290811
replaced by Apollo model: merge	103506878	XM_008471301.1	XM_008471301.1	XP_008469523.1	Dcitr19186.1	MCOT00897.2.CO	
replaced by Apollo model: merge	103506879	XM_008471302.1	XM_008471302.1	XP_008469524.1	Dcitr19186.1	MCOT00897.2.CO	
replaced by Apollo model: simple replacement	103507048	XM_008471480.1	XM_008471480.1	XP_008469702.1	Dcitr19184.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19177.1	MCOT20139.2.CO	FBpp0087926
replaced by Apollo model: simple replacement	103507521	XM_008471999.1	XM_008471999.1	XP_008470221.1	Dcitr19173.1	MCOT00611.0.CC	
replaced by Apollo model: merge	103507738	XM_008472240.1	XM_008472240.1	XP_008470462.1	Dcitr19167.1	MCOT23217.0.CC	
replaced by Apollo model: merge	103507736	XM_008472237.1	XM_008472237.1	XP_008470459.1	Dcitr19167.1	MCOT23217.0.CC	
replaced by Apollo model: split	103507731	XM_008472233.1	XM_008472233.1	XP_008470455.1	Dcitr19166.1	MCOT05765.0.CO	FBpp0087788
replaced by Apollo model: split	103507731	XM_008472233.1	XM_008472233.1	XP_008470455.1	Dcitr19165.1	MCOT22465.2.CC	
replaced by Apollo model: merge	103507762	XM_008472268.1	XM_008472268.1	XP_008470490.1	Dcitr19164.1		FBpp0305728
replaced by Apollo model: merge	103507763	XM_008472269.1	XM_008472269.1	XP_008470491.1	Dcitr19164.1		FBpp0305728
replaced by Apollo model: merge	103507764	XM_008472270.1	XM_008472270.1	XP_008470492.1	Dcitr19164.1		FBpp0305728
replaced by Apollo model: simple replacement	103508275	XM_008472813.1	XM_008472813.1	XP_008471035.1	Dcitr19153.1	MCOT01442.0.CT	
replaced by Apollo model: merge	103508270	XM_008472803.1	XM_008472803.1	XP_008471025.1	Dcitr19150.3	MCOT22864.0.CC	FBpp0073280
replaced by Apollo model: merge	103508270	XM_008472804.1	XM_008472804.1	XP_008471026.1	Dcitr19150.3	MCOT22864.0.CC	FBpp0073280
replaced by Apollo model: merge	103508270	XM_008472802.1	XM_008472802.1	XP_008471024.1	Dcitr19150.3	MCOT22864.0.CC	FBpp0073280
replaced by Apollo model: merge	103508270	XM_008472803.1	XM_008472803.1	XP_008471025.1	Dcitr19150.2	MCOT22864.0.CC	
replaced by Apollo model: merge	103508270	XM_008472804.1	XM_008472804.1	XP_008471026.1	Dcitr19150.2	MCOT22864.0.CC	
replaced by Apollo model: merge	103508270	XM_008472802.1	XM_008472802.1	XP_008471024.1	Dcitr19150.2	MCOT22864.0.CC	
replaced by Apollo model: merge	103508270	XM_008472803.1	XM_008472803.1	XP_008471025.1	Dcitr19150.1	MCOT22864.0.CC	
replaced by Apollo model: merge	103508270	XM_008472804.1	XM_008472804.1	XP_008471026.1	Dcitr19150.1	MCOT22864.0.CC	
replaced by Apollo model: merge	103508270	XM_008472802.1	XM_008472802.1	XP_008471024.1	Dcitr19150.1	MCOT22864.0.CC	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19149.1	MCOT16194.0.CT	
replaced by Apollo model: split	103508419	XM_008472963.1	XM_008472963.1	XP_008471185.1	Dcitr19146.1		FBpp0079524
replaced by Apollo model: split	103508419	XM_008472963.1	XM_008472963.1	XP_008471185.1	Dcitr19145.1	MCOT01153.0.CO	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19141.1		
replaced by Apollo model: simple replacement	103509169	XM_008473762.1	XM_008473762.1	XP_008471984.1	Dcitr19133.1	MCOT00959.0.CC	
replaced by Apollo model: merge	103509235	XM_008473833.1	XM_008473833.1	XP_008472055.1	Dcitr19131.1	MCOT05106.0.CO	FBpp0307641
replaced by Apollo model: merge	103509249	XM_008473846.1	XM_008473846.1	XP_008472068.1	Dcitr19131.1	MCOT05106.0.CO	FBpp0307641
replaced by Apollo model: merge	103509466	XM_008474089.1	XM_008474089.1	XP_008472311.1	Dcitr19128.1	MCOT07973.0.OO	FBpp0074801
replaced by Apollo model: merge	103509461	XM_008474079.1	XM_008474079.1	XP_008472301.1	Dcitr19128.1	MCOT07973.0.OO	FBpp0074801
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19115.1		
replaced by Apollo model: simple replacement	103509990	XM_008474625.1	XM_008474625.1	XP_008472847.1	Dcitr19111.1	MCOT18117.2.CC	FBpp0079644
replaced by Apollo model: merge	103510042	XM_008474677.1	XM_008474677.1	XP_008472899.1	Dcitr19108.1	MCOT21217.1.CC	FBpp0291753
replaced by Apollo model: merge	103510041	XM_008474676.1	XM_008474676.1	XP_008472898.1	Dcitr19108.1	MCOT21217.1.CC	FBpp0291753
replaced by Apollo model: merge	103510193	XM_008474840.1	XM_008474840.1	XP_008473062.1	Dcitr19104.1	MCOT17138.2.CC	
replaced by Apollo model: merge	103510193	XM_008474841.1	XM_008474841.1	XP_008473063.1	Dcitr19104.1	MCOT17138.2.CC	
replaced by Apollo model: merge	103510347	XM_008474997.1	XM_008474997.1	XP_008473219.1	Dcitr19102.1	MCOT20221.2.CC	FBpp0072476
replaced by Apollo model: merge	103510347	XM_008474998.1	XM_008474998.1	XP_008473220.1	Dcitr19102.1	MCOT20221.2.CC	FBpp0072476
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19097.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19096.1		
replaced by Apollo model: merge	103510569	XM_008475247.1	XM_008475247.1	XP_008473469.1	Dcitr19092.1		
replaced by Apollo model: merge	103510569	XM_008475246.1	XM_008475246.1	XP_008473468.1	Dcitr19092.1		
replaced by Apollo model: merge	103510569	XM_008475244.1	XM_008475244.1	XP_008473466.1	Dcitr19092.1		
replaced by Apollo model: merge	103510569	XM_008475245.1	XM_008475245.1	XP_008473467.1	Dcitr19092.1		
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19083.1		
replaced by Apollo model: merge	103510946	XM_008475652.1	XM_008475652.1	XP_008473874.1	Dcitr19078.2	MCOT21282.1.CT	
replaced by Apollo model: merge	103510946	XM_008475651.1	XM_008475651.1	XP_008473873.1	Dcitr19078.2	MCOT21282.1.CT	
replaced by Apollo model: merge	103510946	XM_008475652.1	XM_008475652.1	XP_008473874.1	Dcitr19078.1	MCOT21282.1.CT	FBpp0306279
replaced by Apollo model: merge	103510946	XM_008475651.1	XM_008475651.1	XP_008473873.1	Dcitr19078.1	MCOT21282.1.CT	FBpp0306279
replaced by Apollo model: split	103511048	XM_008475762.1	XM_008475762.1	XP_008473984.1	Dcitr19075.1	MCOT17554.1.CT	
replaced by Apollo model: split	103511048	XM_008475762.1	XM_008475762.1	XP_008473984.1	Dcitr19074.1	MCOT05952.2.CO	
newly added Apollo model: add	NA	NA	NA	NA	Dcitr19073.1	MCOT15644.0.CT	
replaced by Apollo model: simple replacement	103511118	XM_008475831.1	XM_008475831.1	XP_008474053.1	Dcitr19072.1	MCOT15644.0.CT	
replaced by Apollo model: merge	103511606	XM_008476334.1	XM_008476334.1	XP_008474556.1	Dcitr19064.1	MCOT16292.0.CT	FBpp0079133
